NODE_605_length_2200_cov_2.858741_3	Pfam,Pfam,TIGRFAM,Hamap	PF00333,PF03719,TIGR01021,MF_01307_B	IPR013810,IPR005324,IPR005712	Ribosomal protein S5, N-terminal domain,Ribosomal protein S5, C-terminal domain,rpsE_bact: ribosomal protein uS5,30S ribosomal protein S5 [rpsE].	GO:0003723,GO:0003735,GO:0005840,GO:0006412,GO:0015935	"NA"
NODE_6718_length_269_cov_1.177570_1	Pfam	PF04412	IPR007506	Protein of unknown function (DUF521)	"NA"	"NA"
NODE_6719_length_269_cov_1.098131_1	Pfam	PF00919	IPR013848	Uncharacterized protein family UPF0004	GO:0051539	"NA"
NODE_672_length_2022_cov_62.192679_2	TIGRFAM,Pfam,CDD	TIGR01207,PF00483,cd02538	IPR005907,IPR005835	rmlA: glucose-1-phosphate thymidylyltransferase,Nucleotidyl transferase,G1P_TT_short	GO:0008879,GO:0045226,GO:0009058,GO:0016779	KEGG:00521+2.7.7.24,KEGG:00523+2.7.7.24,KEGG:00525+2.7.7.24
NODE_672_length_2022_cov_62.192679_3	Pfam,TIGRFAM	PF00908,TIGR01221	IPR000888	dTDP-4-dehydrorhamnose 3,5-epimerase,rmlC: dTDP-4-dehydrorhamnose 3,5-epimerase	GO:0008830	"NA"
NODE_672_length_2022_cov_62.192679_4	Pfam	PF16363	IPR016040	GDP-mannose 4,6 dehydratase	"NA"	"NA"
NODE_6721_length_269_cov_0.995327_1	CDD	cd11572	"NA"	RlmI_M_like	"NA"	"NA"
NODE_6725_length_268_cov_21.122066_1	Pfam	PF15781	IPR031552	ParE-like toxin of type II bacterial toxin-antitoxin system	"NA"	"NA"
NODE_6726_length_268_cov_2.370892_1	Pfam	PF01116	IPR000771	Fructose-bisphosphate aldolase class-II	GO:0005975,GO:0008270,GO:0016832	"NA"
NODE_6728_length_268_cov_2.000000_1	Pfam	PF01556	IPR002939	DnaJ C terminal domain	"NA"	"NA"
NODE_6729_length_268_cov_1.995305_1	Pfam	PF02075	IPR002176	Crossover junction endodeoxyribonuclease RuvC	GO:0004520,GO:0006281,GO:0006310	"NA"
NODE_673_length_2017_cov_2.220183_1	Pfam,TIGRFAM,Hamap	PF01177,TIGR00067,MF_00258	IPR015942,IPR004391	Asp/Glu/Hydantoin racemase,glut_race: glutamate racemase,Glutamate racemase [murI].	GO:0006807,GO:0036361,GO:0008881,GO:0009252	KEGG:00471+5.1.1.3
NODE_673_length_2017_cov_2.220183_2	Pfam,Hamap,Pfam,TIGRFAM	PF02729,MF_00001,PF00185,TIGR00670	IPR006132,IPR002082,IPR006131	Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding domain,Aspartate carbamoyltransferase [pyrB].,Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain,asp_carb_tr: aspartate carbamoyltransferase	GO:0006520,GO:0016743,GO:0004070,GO:0006207,GO:0016597	KEGG:00240+2.1.3.2,KEGG:00250+2.1.3.2
NODE_6731_length_268_cov_1.666667_1	CDD,Pfam	cd00165,PF01479	IPR002942	S4,S4 domain	GO:0003723	"NA"
NODE_6732_length_268_cov_1.652582_1	Pfam	PF09845	IPR018645	Zn-ribbon containing protein	"NA"	"NA"
NODE_6735_length_268_cov_1.333333_1	Pfam	PF01988	IPR008217	VIT family	"NA"	"NA"
NODE_6736_length_268_cov_1.333333_1	Pfam	PF01656	IPR002586	CobQ/CobB/MinD/ParA nucleotide binding domain	"NA"	"NA"
NODE_6737_length_268_cov_1.333333_1	Pfam	PF00528	IPR000515	Binding-protein-dependent transport system inner membrane component	GO:0006810,GO:0016020	"NA"
NODE_6738_length_268_cov_1.333333_1	CDD,Pfam	cd00088,PF01627	IPR008207	HPT,Hpt domain	GO:0000160,GO:0004871	"NA"
NODE_6739_length_268_cov_1.328638_1	Pfam	PF00248	IPR023210	Aldo/keto reductase family	"NA"	"NA"
NODE_674_length_2014_cov_1.857580_1	Pfam,CDD,CDD,Pfam	PF13180,cd06163,cd00989,PF02163	IPR001478,IPR008915	PDZ domain,S2P-M50_PDZ_RseP-like,PDZ_metalloprotease,Peptidase family M50	GO:0005515,GO:0004222,GO:0006508	"NA"
NODE_674_length_2014_cov_1.857580_2	TIGRFAM,Pfam	TIGR02872,PF01594	IPR014227,IPR002549	spore_ytvI: sporulation integral membrane protein YtvI,AI-2E family transporter	"NA"	"NA"
NODE_674_length_2014_cov_1.857580_3	Pfam	PF01148	"NA"	Cytidylyltransferase family	"NA"	"NA"
NODE_6740_length_268_cov_1.319249_1	Pfam	PF00534	IPR001296	Glycosyl transferases group 1	"NA"	"NA"
NODE_6741_length_268_cov_1.281690_1	Pfam	PF02729	IPR006132	Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding domain	GO:0006520,GO:0016743	"NA"
NODE_6749_length_267_cov_1211.287736_1	Pfam,TIGRFAM	PF05065,TIGR01554	IPR024455	Phage capsid family,major_cap_HK97: phage major capsid protein, HK97 family	"NA"	"NA"
NODE_675_length_2008_cov_2.469534_2	Pfam,Pfam	PF01555,PF01555	IPR002941	DNA methylase,DNA methylase	GO:0003677,GO:0006306,GO:0008170	"NA"
NODE_6751_length_267_cov_23.537736_2	Pfam	PF12831	IPR023753	FAD dependent oxidoreductase	GO:0016491,GO:0055114	"NA"
NODE_6752_length_267_cov_3.160377_1	Pfam,CDD	PF13155,cd01029	IPR034154	Toprim-like,TOPRIM_primases	"NA"	"NA"
NODE_6753_length_267_cov_2.344340_1	Pfam	PF17147	IPR033412	Pyruvate:ferredoxin oxidoreductase core domain II	"NA"	"NA"
NODE_6754_length_267_cov_2.344340_1	Pfam	PF07568	IPR011495	Histidine kinase	"NA"	"NA"
NODE_6755_length_267_cov_1.674528_1	Pfam	PF00589	IPR002104	Phage integrase family	GO:0003677,GO:0006310,GO:0015074	"NA"
NODE_6757_length_267_cov_1.669811_1	Pfam	PF17385	IPR035363	Lacto-N-biose phosphorylase central domain	"NA"	"NA"
NODE_676_length_2005_cov_2.710769_1	Pfam,Pfam,TIGRFAM	PF08544,PF00288,TIGR00154	IPR013750,IPR006204,IPR004424	GHMP kinases C terminal,GHMP kinases N terminal domain,ispE: 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	GO:0005524,GO:0016114,GO:0050515	KEGG:00710+2.7.1.14,KEGG:00900+2.7.1.148
NODE_676_length_2005_cov_2.710769_2	Pfam,CDD,Pfam	PF07729,cd07377,PF00392	IPR011711,IPR000524	FCD domain,WHTH_GntR,Bacterial regulatory proteins, gntR family	GO:0003700,GO:0006355	"NA"
NODE_676_length_2005_cov_2.710769_3	Pfam	PF12804	IPR025877	MobA-like NTP transferase domain	"NA"	"NA"
NODE_6760_length_267_cov_1.603774_1	Pfam	PF00180	IPR024084	Isocitrate/isopropylmalate dehydrogenase	GO:0016616,GO:0055114	"NA"
NODE_6764_length_267_cov_1.339623_1	Pfam	PF00149	IPR004843	Calcineurin-like phosphoesterase	GO:0016787	"NA"
NODE_6765_length_267_cov_1.339623_1	Pfam	PF13291	IPR002912	ACT domain	"NA"	"NA"
NODE_6766_length_267_cov_1.339623_1	Pfam,Hamap	PF00709,MF_00011	IPR001114	Adenylosuccinate synthetase,Adenylosuccinate synthetase [purA].	GO:0004019,GO:0005525,GO:0006164	KEGG:00230+6.3.4.4,KEGG:00250+6.3.4.4
NODE_6768_length_267_cov_1.339623_1	Pfam	PF02673	IPR003824	Bacitracin resistance protein BacA	GO:0016020,GO:0016311,GO:0050380	KEGG:00550+3.6.1.27
NODE_6769_length_267_cov_1.334906_1	Pfam	PF00990	IPR000160	Diguanylate cyclase, GGDEF domain	"NA"	"NA"
NODE_677_length_2005_cov_1.927692_1	Pfam	PF08264	IPR013155	Anticodon-binding domain of tRNA	GO:0000166,GO:0006418	"NA"
NODE_677_length_2005_cov_1.927692_2	Pfam,TIGRFAM,Pfam,Hamap	PF07685,TIGR00313,PF01656,MF_00028	IPR011698,IPR004459,IPR002586	CobB/CobQ-like glutamine amidotransferase domain,cobQ: cobyric acid synthase CobQ,CobQ/CobB/MinD/ParA nucleotide binding domain,Cobyric acid synthase [cobQ].	GO:0003824,GO:0009236	"NA"
NODE_6770_length_267_cov_1.334906_1	Pfam	PF02782	IPR018485	FGGY family of carbohydrate kinases, C-terminal domain	GO:0005975,GO:0016773	"NA"
NODE_6772_length_267_cov_1.325472_1	Pfam	PF03734	IPR005490	L,D-transpeptidase catalytic domain	GO:0016740	"NA"
NODE_6773_length_267_cov_1.160377_1	Pfam	PF00950	IPR001626	ABC 3 transport family	GO:0005887,GO:0042626,GO:0043190,GO:0055085	"NA"
NODE_6774_length_267_cov_1.136792_1	TIGRFAM,Pfam,CDD	TIGR00411,PF13192,cd02973	IPR004502,IPR012336	redox_disulf_1: redox-active disulfide protein 1,Thioredoxin domain,TRX_GRX_like	GO:0009055,GO:0015035,GO:0045454	"NA"
NODE_6775_length_267_cov_1.004717_1	TIGRFAM	TIGR00269	IPR000541	TIGR00269: TIGR00269 family protein	GO:0000049,GO:0002098,GO:0034227	"NA"
NODE_6776_length_267_cov_1.004717_1	Pfam	PF02504	IPR003664	Fatty acid synthesis protein	GO:0003824,GO:0006633,GO:0016747	"NA"
NODE_678_length_2004_cov_2.838892_2	Pfam	PF00015	IPR004089	Methyl-accepting chemotaxis protein (MCP) signalling domain	GO:0004871,GO:0007165,GO:0016020	"NA"
NODE_678_length_2004_cov_2.838892_3	Pfam	PF14385	IPR025529	Domain of unknown function (DUF4416)	"NA"	"NA"
NODE_6781_length_267_cov_0.952830_1	Pfam	PF13732	IPR025302	Domain of unknown function (DUF4162)	"NA"	"NA"
NODE_6784_length_266_cov_2.350711_1	Pfam	PF01313	IPR002191	Bacterial export proteins, family 3	GO:0009306,GO:0016020	"NA"
NODE_6786_length_266_cov_2.331754_1	Pfam	PF02240	IPR003178	Methyl-coenzyme M reductase gamma subunit	GO:0015948,GO:0050524	KEGG:00680+2.8.4.1
NODE_6786_length_266_cov_2.331754_2	Pfam	PF02745	IPR003183	Methyl-coenzyme M reductase alpha subunit, N-terminal domain	GO:0015948,GO:0050524	KEGG:00680+2.8.4.1
NODE_6787_length_266_cov_2.014218_1	CDD,Pfam	cd02042,PF13614	IPR025669	ParA,AAA domain	"NA"	"NA"
NODE_6789_length_266_cov_1.853081_1	Pfam	PF01411	IPR018164	tRNA synthetases class II (A)	GO:0000166,GO:0004813,GO:0005524,GO:0006419	KEGG:00970+6.1.1.7
NODE_679_length_2003_cov_2.596509_2	Pfam	PF00665	IPR001584	Integrase core domain	GO:0015074	"NA"
NODE_679_length_2003_cov_2.596509_3	Pfam	PF01527	IPR002514	Transposase	GO:0003677,GO:0004803,GO:0006313	"NA"
NODE_6795_length_266_cov_1.597156_1	Pfam	PF00749	IPR020058	tRNA synthetases class I (E and Q), catalytic domain	GO:0005524,GO:0016876,GO:0043039	"NA"
NODE_6796_length_266_cov_1.559242_1	Pfam	PF05697	IPR008881	Bacterial trigger factor protein (TF)	GO:0006457,GO:0015031	"NA"
NODE_6798_length_266_cov_1.345972_1	Pfam,TIGRFAM	PF03750,TIGR01870	IPR010149	Csm2 Type III-A,cas_TM1810_Csm2: CRISPR type III-A/MTUBE-associated protein Csm2	"NA"	"NA"
NODE_68_length_36746_cov_440.172740_10	Pfam,CDD,Hamap,Pfam,TIGRFAM	PF02912,cd00496,MF_00281,PF01409,TIGR00468	IPR004188,IPR022911,IPR002319,IPR004529	Aminoacyl tRNA synthetase class II, N-terminal domain,PheRS_alpha_core,Phenylalanine--tRNA ligase alpha subunit [pheS].,tRNA synthetases class II core domain (F),pheS: phenylalanine--tRNA ligase, alpha subunit	GO:0000166,GO:0004826,GO:0005524,GO:0005737,GO:0006432,GO:0000049,GO:0004812,GO:0043039	KEGG:00970+6.1.1.20
NODE_68_length_36746_cov_440.172740_11	Pfam	PF06161	IPR010380	Protein of unknown function (DUF975)	"NA"	"NA"
NODE_68_length_36746_cov_440.172740_12	Pfam,TIGRFAM	PF00232,TIGR03356	IPR001360,IPR017736	Glycosyl hydrolase family 1,BGL: beta-galactosidase	GO:0004553,GO:0005975,GO:0008422,GO:0030245	KEGG:00460+3.2.1.21,KEGG:00500+3.2.1.21,KEGG:00940+3.2.1.21
NODE_68_length_36746_cov_440.172740_14	Pfam,Pfam,Pfam,CDD,CDD	PF00722,PF00404,PF00404,cd14256,cd02175	IPR000757,IPR002105	Glycosyl hydrolases family 16,Dockerin type I repeat,Dockerin type I repeat,Dockerin_I,GH16_lichenase	GO:0004553,GO:0005975,GO:0000272	"NA"
NODE_68_length_36746_cov_440.172740_15	CDD,Pfam,CDD,Pfam	cd01392,PF00356,cd06267,PF13377	IPR000843	HTH_LacI,Bacterial regulatory proteins, lacI family,PBP1_LacI_sugar_binding_like,Periplasmic binding protein-like domain	GO:0003677,GO:0006355	"NA"
NODE_68_length_36746_cov_440.172740_16	CDD,Pfam	cd00761,PF00535	IPR001173	Glyco_tranf_GTA_type,Glycosyl transferase family 2	"NA"	"NA"
NODE_68_length_36746_cov_440.172740_17	Pfam,Pfam,TIGRFAM	PF01368,PF02272,TIGR00644	IPR001667,IPR003156,IPR004610	DHH family,DHHA1 domain,recJ: single-stranded-DNA-specific exonuclease RecJ	GO:0003676,GO:0006281,GO:0006310,GO:0008409	KEGG:00190+3.6.1.1,KEGG:00970+6.1.1.7
NODE_68_length_36746_cov_440.172740_18	Pfam,Pfam	PF12705,PF12705	"NA"	PD-(D/E)XK nuclease superfamily,PD-(D/E)XK nuclease superfamily	"NA"	"NA"
NODE_68_length_36746_cov_440.172740_19	Pfam,CDD,Pfam	PF00580,cd00046,PF13361	IPR034739,IPR014017	UvrD/REP helicase N-terminal domain,DEXDc,UvrD-like helicase C-terminal domain	GO:0005524,GO:0016787	"NA"
NODE_68_length_36746_cov_440.172740_21	Pfam	PF06961	IPR010718	Protein of unknown function (DUF1294)	"NA"	"NA"
NODE_68_length_36746_cov_440.172740_22	Pfam,Pfam	PF00072,PF03861	IPR001789,IPR005561	Response regulator receiver domain,ANTAR domain	GO:0000160,GO:0003723	"NA"
NODE_68_length_36746_cov_440.172740_23	Pfam,TIGRFAM,Pfam	PF00120,TIGR00653,PF03951	IPR008146,IPR004809,IPR008147	Glutamine synthetase, catalytic domain,GlnA: glutamine synthetase, type I,Glutamine synthetase, beta-Grasp domain	GO:0004356,GO:0006807,GO:0005737,GO:0009399,GO:0006542	KEGG:00220+6.3.1.2,KEGG:00250+6.3.1.2,KEGG:00630+6.3.1.2,KEGG:00910+6.3.1.2
